feature,importance
numeric__elevation_m,0.3104337139000704
numeric__ndvi,0.15887827874229224
numeric__slope_degrees,0.15141845335859314
numeric__mean_annual_precipitation_mm,0.08555317662866807
numeric__twi,0.055332391371972406
numeric__profile_curvature,0.04884235352620901
numeric__plan_curvature,0.04752800781130965
numeric__aspect_cos,0.042908590678080435
numeric__aspect_sin,0.03991769367640101
categorical__lulc_class_30.0,0.01261070703582404
categorical__lulc_class_70.0,0.012090554859180406
categorical__lulc_class_10.0,0.00992098743710614
categorical__lulc_class_40.0,0.00939106487419976
categorical__lulc_class_50.0,0.008427572457379313
categorical__lulc_class_100.0,0.0035224298756639043
categorical__lulc_class_60.0,0.0026801417535307005
categorical__lulc_class_80.0,0.0005017108921745555
categorical__lulc_class_20.0,3.103568264539301e-05
categorical__lulc_class_90.0,1.1135438699295045e-05
