epoch,phase,train_loss,val_loss,val_accuracy,val_roc_auc,lr
1,Phase 1 (Head),0.41289775479156954,0.36105184398625234,0.8478506787330317,0.9148333367457667,0.001
2,Phase 1 (Head),0.3655415816653159,0.36233137652480224,0.8495475113122172,0.9182097264593272,0.001
3,Phase 1 (Head),0.35597469498696943,0.3480413424618104,0.8495475113122172,0.9212342089637804,0.001
4,Phase 2 (Fine-tuning),0.34412778813621725,0.3616847299140503,0.8501131221719457,0.9434568293032495,4.8800884649231264e-05
5,Phase 2 (Fine-tuning),0.28392493575769223,0.26809721927230173,0.8936651583710408,0.9568664134640977,4.532091636218621e-05
6,Phase 2 (Fine-tuning),0.24789590760643831,0.2598082565310584,0.8936651583710408,0.96175472451424,3.990073868116559e-05
7,Phase 2 (Fine-tuning),0.21264265344837122,0.3124517746026337,0.8823529411764706,0.9658829159927111,3.307091636218621e-05
8,Phase 2 (Fine-tuning),0.17968428355652732,0.24051572162893967,0.9021493212669683,0.9671113920681395,2.5500000000000003e-05
9,Phase 2 (Fine-tuning),0.14399021124986675,0.2784577570492149,0.9078054298642534,0.9649884318502896,1.792908363781379e-05
10,Phase 2 (Fine-tuning),0.12369160123770802,0.28656482818110834,0.9055429864253394,0.966505471837186,1.1099261318834412e-05
11,Phase 2 (Fine-tuning),0.0961950744208935,0.2976626581054105,0.9032805429864253,0.9683123553981287,5.6790836378137905e-06
12,Phase 2 (Fine-tuning),0.08079516263449397,0.36446008116006323,0.9038461538461539,0.9681434399377572,2.1991153507687385e-06
13,Phase 2 (Fine-tuning),0.06968375866711941,0.3431510120269166,0.8987556561085973,0.9682778045085073,1e-06
