feature,importance
numeric__elevation_m,0.26876935
numeric__slope_degrees,0.17847277
numeric__ndvi,0.12495105
categorical__lulc_class_50.0,0.06742973
categorical__lulc_class_30.0,0.051683508
numeric__mean_annual_precipitation_mm,0.04634453
categorical__lulc_class_40.0,0.03236831
categorical__lulc_class_80.0,0.032309406
categorical__lulc_class_10.0,0.031244628
categorical__lulc_class_60.0,0.028943993
numeric__profile_curvature,0.028078232
numeric__plan_curvature,0.023074325
numeric__aspect_cos,0.023024125
numeric__twi,0.022961777
numeric__aspect_sin,0.019580308
categorical__lulc_class_100.0,0.012571058
categorical__lulc_class_70.0,0.008192852
categorical__lulc_class_20.0,0.0
categorical__lulc_class_90.0,0.0
