feature,min,mean,median,max,std,missing_count,missing_pct
rainfall_3d_mm,0.0,55.72,39.3,399.54,66.68,0,0.0
rainfall_7d_mm,0.0,118.75,88.24,624.86,117.1,0,0.0
rainfall_14d_mm,0.0,167.36,152.25,902.59,149.07,0,0.0
rainfall_30d_mm,0.0,248.18,254.62,929.31,197.63,0,0.0
rolling_3d_mean,0.0,18.57,13.1,133.18,22.23,0,0.0
rolling_7d_mean,0.0,16.96,12.61,89.27,16.73,0,0.0
rolling_14d_mean,0.0,11.95,10.88,64.47,10.65,0,0.0
rolling_30d_mean,0.0,8.27,8.49,30.98,6.59,0,0.0
maximum_daily_rainfall,0.0,55.75,52.14,274.06,46.19,0,0.0
rainfall_anomaly,0.0,0.61,0.63,2.29,0.49,0,0.0
dynamic_rainfall_trigger_score,0.0,0.41,0.42,0.99,0.3,0,0.0
