sample_id,latitude,longitude,timestamp,xgboost_probability,swin_probability,rainfall_3d_mm,rainfall_7d_mm,rainfall_14d_mm,rainfall_30d_mm,rolling_3d_mean,rolling_7d_mean,rolling_14d_mean,rolling_30d_mean,maximum_daily_rainfall,rainfall_anomaly,cumulative_rainfall,trigger_indicator,dynamic_rainfall_risk,dynamic_rainfall_trigger_score,location_name,district,regime_description
STATION_RUDRAPRAYAG,30.735,79.067,2013-06-17,,,328.09,545.78,614.08,638.56,109.36,77.97,43.86,21.29,156.53,1.575,638.56,SEVERE_TRIGGER,0.9537,0.9537,Kedarnath / Mandakini Valley,Rudraprayag,Extreme Historical Disaster (Kedarnath Storm)
STATION_RUDRAPRAYAG,30.735,79.067,2023-07-15,,,76.04,286.65,337.04,627.59,25.35,40.95,24.07,20.92,145.28,1.548,627.59,SEVERE_TRIGGER,0.7798,0.7798,Kedarnath / Mandakini Valley,Rudraprayag,Active Monsoon Peak
STATION_RUDRAPRAYAG,30.735,79.067,2023-08-15,,,45.53,91.06,141.43,308.05,15.18,13.01,10.1,10.27,74.08,0.761,308.05,ELEVATED_TRIGGER,0.5007,0.5007,Kedarnath / Mandakini Valley,Rudraprayag,Mid-Monsoon Sustained Rain
STATION_RUDRAPRAYAG,30.735,79.067,2023-01-15,,,0.0,0.0,0.0,3.25,0.0,0.0,0.0,0.11,3.25,0.01,3.25,LOW_STRESS,0.0115,0.0115,Kedarnath / Mandakini Valley,Rudraprayag,Winter Dry Season Baseline
STATION_CHAMOLI,30.556,79.567,2013-06-17,,,133.05,215.71,254.96,290.3,44.35,30.82,18.21,9.68,63.63,0.717,290.3,SEVERE_TRIGGER,0.764,0.764,Joshimath / Alaknanda Valley,Chamoli,Extreme Historical Disaster (Kedarnath Storm)
STATION_CHAMOLI,30.556,79.567,2023-07-15,,,136.86,207.31,207.31,320.41,45.62,29.62,14.81,10.68,68.43,0.792,320.41,SEVERE_TRIGGER,0.792,0.792,Joshimath / Alaknanda Valley,Chamoli,Active Monsoon Peak
STATION_CHAMOLI,30.556,79.567,2023-08-15,,,43.53,58.04,100.77,196.99,14.51,8.29,7.2,6.57,43.53,0.488,196.99,MODERATE_STRESS,0.3325,0.3325,Joshimath / Alaknanda Valley,Chamoli,Mid-Monsoon Sustained Rain
STATION_CHAMOLI,30.556,79.567,2023-01-15,,,0.0,0.0,0.0,5.41,0.0,0.0,0.0,0.18,5.41,0.016,5.41,LOW_STRESS,0.0191,0.0191,Joshimath / Alaknanda Valley,Chamoli,Winter Dry Season Baseline
STATION_UTTARKASHI,30.727,78.435,2013-06-17,,,126.03,250.58,288.93,298.69,42.01,35.8,20.64,9.96,88.96,0.738,298.69,SEVERE_TRIGGER,0.8157,0.8157,Uttarkashi / Bhagirathi Valley,Uttarkashi,Extreme Historical Disaster (Kedarnath Storm)
STATION_UTTARKASHI,30.727,78.435,2023-07-15,,,43.53,307.28,390.55,582.18,14.51,43.9,27.9,19.41,136.88,1.436,582.18,ELEVATED_TRIGGER,0.6984,0.6984,Uttarkashi / Bhagirathi Valley,Uttarkashi,Active Monsoon Peak
STATION_UTTARKASHI,30.727,78.435,2023-08-15,,,128.34,166.48,299.13,535.69,42.78,23.78,21.37,17.86,87.17,1.322,535.69,SEVERE_TRIGGER,0.8237,0.8237,Uttarkashi / Bhagirathi Valley,Uttarkashi,Mid-Monsoon Sustained Rain
STATION_UTTARKASHI,30.727,78.435,2023-01-15,,,0.0,8.25,19.74,40.79,0.0,1.18,1.41,1.36,9.46,0.103,40.79,LOW_STRESS,0.0463,0.0463,Uttarkashi / Bhagirathi Valley,Uttarkashi,Winter Dry Season Baseline
STATION_PITHORAGARH,29.583,80.217,2013-06-17,,,219.36,356.22,428.63,468.65,73.12,50.89,30.62,15.62,146.24,1.157,468.65,SEVERE_TRIGGER,0.9266,0.9266,Pithoragarh / Kali Valley,Pithoragarh,Extreme Historical Disaster (Kedarnath Storm)
STATION_PITHORAGARH,29.583,80.217,2023-07-15,,,0.0,81.05,162.1,349.16,0.0,11.58,11.58,11.64,57.25,0.862,349.16,MODERATE_STRESS,0.3436,0.3436,Pithoragarh / Kali Valley,Pithoragarh,Active Monsoon Peak
STATION_PITHORAGARH,29.583,80.217,2023-08-15,,,27.51,61.42,136.05,321.88,9.17,8.77,9.72,10.73,49.31,0.795,321.88,MODERATE_STRESS,0.3568,0.3568,Pithoragarh / Kali Valley,Pithoragarh,Mid-Monsoon Sustained Rain
